user_id,email,signup_date,country,user_type
1,user1@example.com,2025-08-16,Bouvet Island (Bouvetoya),regular
2,user2@example.com,2023-01-04,Saint Vincent and the Grenadines,regular
3,user3@example.com,2024-01-28,Ecuador,vip
4,user4@example.com,2023-11-08,Burundi,regular
5,user5@example.com,2023-05-05,Philippines,regular
6,user6@example.com,2025-03-23,Benin,regular
7,user7@example.com,2025-06-01,Jamaica,regular
8,user8@example.com,2023-01-15,Antarctica (the territory South of 60 deg S),regular
9,user9@example.com,2023-04-21,Cuba,vip
10,user10@example.com,2023-11-23,Madagascar,regular
11,user11@example.com,2025-06-19,Anguilla,regular
12,user12@example.com,2025-04-16,Congo,regular
13,user13@example.com,2025-09-01,Reunion,regular
14,user14@example.com,2025-03-22,Italy,regular
15,user15@example.com,2023-11-04,Kiribati,regular
16,user16@example.com,2025-05-30,Fiji,regular
17,user17@example.com,2022-12-07,Senegal,vip
18,user18@example.com,2023-08-02,Qatar,regular
19,user19@example.com,2024-09-13,Guam,vip
20,user20@example.com,2024-02-01,Cape Verde,vip
21,user21@example.com,2023-10-27,Serbia,regular
22,user22@example.com,2024-05-02,Bosnia and Herzegovina,regular
23,user23@example.com,2023-04-20,Hong Kong,vip
24,user24@example.com,2023-04-26,Guinea-Bissau,vip
25,user25@example.com,2024-05-14,Netherlands,vip
26,user26@example.com,2024-01-11,Sri Lanka,regular
27,user27@example.com,2023-02-02,Saint Lucia,regular
28,user28@example.com,2024-11-09,Mauritania,vip
29,user29@example.com,2023-06-08,Uzbekistan,regular
30,user30@example.com,2024-07-07,Belgium,regular
31,user31@example.com,2025-04-02,French Polynesia,vip
32,user32@example.com,2025-07-30,Niger,regular
33,user33@example.com,2024-06-10,Morocco,vip
34,user34@example.com,2023-09-21,Romania,vip
35,user35@example.com,2023-03-15,Aruba,vip
36,user36@example.com,2025-09-19,Denmark,regular
37,user37@example.com,2024-02-19,Belgium,vip
38,user38@example.com,2023-11-23,Tonga,regular
39,user39@example.com,2023-05-02,Hong Kong,vip
40,user40@example.com,2024-02-01,Korea,regular
41,user41@example.com,2025-08-10,Syrian Arab Republic,vip
42,user42@example.com,2024-06-15,Central African Republic,vip
43,user43@example.com,2024-06-24,Guinea,regular
44,user44@example.com,2023-10-18,Paraguay,regular
45,user45@example.com,2024-01-15,Reunion,regular
46,user46@example.com,2025-10-23,Oman,regular
47,user47@example.com,2023-03-17,New Caledonia,vip
48,user48@example.com,2025-08-09,Chile,regular
49,user49@example.com,2025-03-05,Saint Lucia,regular
50,user50@example.com,2023-12-12,Central African Republic,regular
51,user51@example.com,2024-11-14,Hong Kong,vip
52,user52@example.com,2024-01-20,Uzbekistan,vip
53,user53@example.com,2025-08-17,Portugal,vip
54,user54@example.com,2025-04-10,Cyprus,vip
55,user55@example.com,2025-10-25,Greece,regular
56,user56@example.com,2023-02-21,Denmark,vip
57,user57@example.com,2023-01-15,Sri Lanka,vip
58,user58@example.com,2024-03-31,Iran,regular
59,user59@example.com,2024-01-16,Bahrain,vip
60,user60@example.com,2023-10-20,United States Minor Outlying Islands,regular
61,user61@example.com,2025-04-26,Turkey,regular
62,user62@example.com,2024-03-29,Croatia,regular
63,user63@example.com,2025-09-10,Luxembourg,regular
64,user64@example.com,2024-08-02,Turks and Caicos Islands,vip
65,user65@example.com,2025-08-21,Kuwait,vip
66,user66@example.com,2023-07-06,Estonia,vip
67,user67@example.com,2023-07-01,Egypt,regular
68,user68@example.com,2025-04-17,Mauritania,vip
69,user69@example.com,2024-01-09,San Marino,regular
70,user70@example.com,2025-05-23,Japan,regular
71,user71@example.com,2025-05-21,Iran,regular
72,user72@example.com,2024-06-11,Cyprus,vip
73,user73@example.com,2023-06-29,Malawi,vip
74,user74@example.com,2025-01-01,Bermuda,vip
75,user75@example.com,2023-02-08,Tokelau,regular
76,user76@example.com,2023-05-16,Cape Verde,regular
77,user77@example.com,2025-07-28,Cayman Islands,vip
78,user78@example.com,2025-10-19,Jamaica,regular
79,user79@example.com,2025-06-10,Bahrain,vip
80,user80@example.com,2024-07-16,Hong Kong,vip
81,user81@example.com,2025-06-09,Lao People's Democratic Republic,vip
82,user82@example.com,2025-02-25,El Salvador,regular
83,user83@example.com,2025-04-04,Tokelau,vip
84,user84@example.com,2022-12-14,Pitcairn Islands,regular
85,user85@example.com,2023-05-23,Pitcairn Islands,regular
86,user86@example.com,2025-03-10,Sao Tome and Principe,vip
87,user87@example.com,2024-01-15,Seychelles,vip
88,user88@example.com,2025-08-18,Guam,vip
89,user89@example.com,2023-05-19,French Polynesia,vip
90,user90@example.com,2024-10-02,Cayman Islands,regular
91,user91@example.com,2024-10-31,Afghanistan,regular
92,user92@example.com,2024-01-10,Macao,vip
93,user93@example.com,2023-08-31,Madagascar,regular
94,user94@example.com,2023-05-11,Trinidad and Tobago,regular
95,user95@example.com,2025-07-25,French Southern Territories,regular
96,user96@example.com,2025-08-15,Madagascar,regular
97,user97@example.com,2025-06-30,Congo,regular
98,user98@example.com,2023-07-22,Holy See (Vatican City State),vip
99,user99@example.com,2023-08-04,Mauritius,regular
100,user100@example.com,2025-02-27,Uruguay,vip
101,user101@example.com,2022-11-27,Netherlands Antilles,vip
102,user102@example.com,2024-04-13,Liechtenstein,vip
103,user103@example.com,2022-12-27,Bouvet Island (Bouvetoya),vip
104,user104@example.com,2024-06-12,Turkey,regular
105,user105@example.com,2024-03-18,Dominican Republic,regular
106,user106@example.com,2023-02-24,Dominican Republic,vip
107,user107@example.com,2025-04-26,Yemen,vip
108,user108@example.com,2023-03-29,Belize,regular
109,user109@example.com,2024-12-20,Suriname,vip
110,user110@example.com,2023-03-14,Senegal,vip
111,user111@example.com,2025-03-03,Seychelles,regular
112,user112@example.com,2023-06-10,Brunei Darussalam,vip
113,user113@example.com,2025-09-16,Lebanon,regular
114,user114@example.com,2025-03-30,Chad,vip
115,user115@example.com,2024-01-12,Marshall Islands,regular
116,user116@example.com,2025-06-26,Jamaica,regular
117,user117@example.com,2023-10-22,Vanuatu,vip
118,user118@example.com,2025-03-13,Saudi Arabia,regular
119,user119@example.com,2025-11-02,Cook Islands,regular
120,user120@example.com,2024-03-25,Iran,vip
121,user121@example.com,2025-10-05,Pakistan,regular
122,user122@example.com,2024-06-29,Kazakhstan,regular
123,user123@example.com,2025-02-08,Korea,vip
124,user124@example.com,2023-06-02,Egypt,vip
125,user125@example.com,2023-11-11,Bahrain,regular
126,user126@example.com,2024-05-05,Angola,regular
127,user127@example.com,2025-05-28,Micronesia,vip
128,user128@example.com,2023-11-19,Namibia,vip
129,user129@example.com,2023-11-04,Albania,regular
130,user130@example.com,2023-03-17,Russian Federation,regular
131,user131@example.com,2025-08-03,Bahamas,regular
132,user132@example.com,2023-11-17,Bangladesh,regular
133,user133@example.com,2023-01-14,Tokelau,regular
134,user134@example.com,2024-04-23,Barbados,vip
135,user135@example.com,2025-02-02,Dominica,regular
136,user136@example.com,2024-02-02,Paraguay,regular
137,user137@example.com,2024-12-20,Croatia,regular
138,user138@example.com,2025-03-13,Bulgaria,vip
139,user139@example.com,2025-05-02,Morocco,regular
140,user140@example.com,2024-11-30,Ecuador,vip
141,user141@example.com,2024-11-30,Sri Lanka,vip
142,user142@example.com,2024-08-20,Comoros,regular
143,user143@example.com,2023-04-22,Bhutan,regular
144,user144@example.com,2025-09-15,Jersey,vip
145,user145@example.com,2024-05-30,Jamaica,vip
146,user146@example.com,2024-08-26,Lao People's Democratic Republic,vip
147,user147@example.com,2023-02-19,Peru,vip
148,user148@example.com,2025-09-07,Oman,vip
149,user149@example.com,2023-04-28,Bahamas,regular
150,user150@example.com,2024-08-13,Saint Lucia,regular
151,user151@example.com,2024-05-07,South Georgia and the South Sandwich Islands,regular
152,user152@example.com,2023-05-15,Egypt,regular
153,user153@example.com,2023-09-20,Comoros,vip
154,user154@example.com,2025-03-09,Kiribati,regular
155,user155@example.com,2023-07-02,Jamaica,regular
156,user156@example.com,2023-09-08,Fiji,regular
157,user157@example.com,2024-11-14,Egypt,regular
158,user158@example.com,2023-03-24,Kenya,regular
159,user159@example.com,2025-03-30,Bolivia,regular
160,user160@example.com,2023-02-13,Pakistan,regular
161,user161@example.com,2025-03-15,Taiwan,regular
162,user162@example.com,2022-12-19,Bermuda,regular
163,user163@example.com,2023-11-29,Chad,vip
164,user164@example.com,2024-08-19,Libyan Arab Jamahiriya,regular
165,user165@example.com,2024-12-13,Croatia,regular
166,user166@example.com,2024-08-10,United Kingdom,vip
167,user167@example.com,2023-02-26,Chad,vip
168,user168@example.com,2024-07-07,Afghanistan,regular
169,user169@example.com,2024-07-25,Estonia,regular
170,user170@example.com,2024-11-02,France,vip
171,user171@example.com,2024-09-14,Qatar,regular
172,user172@example.com,2025-04-08,Panama,vip
173,user173@example.com,2024-12-22,Cape Verde,vip
174,user174@example.com,2023-09-17,French Polynesia,regular
175,user175@example.com,2023-10-31,Azerbaijan,regular
176,user176@example.com,2025-05-14,Saint Pierre and Miquelon,regular
177,user177@example.com,2025-03-18,Bahamas,vip
178,user178@example.com,2024-03-28,Azerbaijan,vip
179,user179@example.com,2023-02-12,Myanmar,vip
180,user180@example.com,2024-12-06,Macao,vip
181,user181@example.com,2025-03-01,Cayman Islands,vip
182,user182@example.com,2023-02-23,Malawi,regular
183,user183@example.com,2023-03-31,Thailand,regular
184,user184@example.com,2023-09-11,Bangladesh,regular
185,user185@example.com,2025-06-08,Bangladesh,vip
186,user186@example.com,2025-10-10,Tokelau,vip
187,user187@example.com,2023-11-27,Iraq,regular
188,user188@example.com,2023-06-01,Western Sahara,regular
189,user189@example.com,2025-04-29,Egypt,regular
190,user190@example.com,2025-05-14,Nepal,regular
191,user191@example.com,2023-01-27,Niger,vip
192,user192@example.com,2023-04-03,Italy,regular
193,user193@example.com,2025-09-13,Myanmar,vip
194,user194@example.com,2025-04-23,Mali,regular
195,user195@example.com,2024-04-01,Vietnam,vip
196,user196@example.com,2024-01-06,Costa Rica,vip
197,user197@example.com,2025-10-02,Saint Barthelemy,regular
198,user198@example.com,2024-03-29,Dominican Republic,regular
199,user199@example.com,2024-01-13,Indonesia,vip
200,user200@example.com,2023-06-18,Paraguay,regular
201,user201@example.com,2025-08-25,French Southern Territories,regular
202,user202@example.com,2024-11-06,Germany,regular
203,user203@example.com,2023-03-19,Algeria,regular
204,user204@example.com,2024-11-07,Nigeria,regular
205,user205@example.com,2025-04-19,Bolivia,regular
206,user206@example.com,2023-03-20,Mauritania,vip
207,user207@example.com,2023-10-24,Madagascar,vip
208,user208@example.com,2024-01-12,Bulgaria,vip
209,user209@example.com,2024-05-22,Turkmenistan,regular
210,user210@example.com,2023-03-13,Turkmenistan,vip
211,user211@example.com,2023-12-11,Heard Island and McDonald Islands,regular
212,user212@example.com,2024-02-12,Cayman Islands,regular
213,user213@example.com,2024-10-07,Syrian Arab Republic,vip
214,user214@example.com,2025-03-19,Romania,regular
215,user215@example.com,2024-03-10,New Zealand,vip
216,user216@example.com,2025-09-07,Marshall Islands,vip
217,user217@example.com,2022-12-09,Papua New Guinea,vip
218,user218@example.com,2025-04-06,French Southern Territories,vip
219,user219@example.com,2025-09-22,Bosnia and Herzegovina,vip
220,user220@example.com,2023-06-23,Estonia,vip
221,user221@example.com,2023-05-25,Tuvalu,regular
222,user222@example.com,2023-05-12,Samoa,regular
223,user223@example.com,2025-04-04,Cape Verde,vip
224,user224@example.com,2024-01-24,Finland,regular
225,user225@example.com,2025-06-23,Cote d'Ivoire,regular
226,user226@example.com,2024-05-12,Costa Rica,regular
227,user227@example.com,2025-10-29,North Macedonia,vip
228,user228@example.com,2024-01-11,Madagascar,regular
229,user229@example.com,2024-12-24,El Salvador,regular
230,user230@example.com,2023-02-13,Bermuda,vip
231,user231@example.com,2025-08-08,Jamaica,regular
232,user232@example.com,2024-01-30,Aruba,regular
233,user233@example.com,2022-12-02,Grenada,regular
234,user234@example.com,2023-06-18,Northern Mariana Islands,regular
235,user235@example.com,2024-01-07,Central African Republic,regular
236,user236@example.com,2024-10-13,Micronesia,regular
237,user237@example.com,2024-09-21,Monaco,regular
238,user238@example.com,2022-12-12,Bouvet Island (Bouvetoya),vip
239,user239@example.com,2023-03-23,Western Sahara,regular
240,user240@example.com,2025-11-04,United Kingdom,regular
241,user241@example.com,2023-07-16,Mayotte,regular
242,user242@example.com,2023-01-21,Syrian Arab Republic,regular
243,user243@example.com,2024-06-22,Myanmar,vip
244,user244@example.com,2025-04-03,Cameroon,vip
245,user245@example.com,2024-09-24,Brunei Darussalam,vip
246,user246@example.com,2023-01-30,Gambia,regular
247,user247@example.com,2024-06-15,United Arab Emirates,vip
248,user248@example.com,2023-01-27,United Arab Emirates,regular
249,user249@example.com,2024-06-04,Cote d'Ivoire,vip
250,user250@example.com,2025-10-21,Egypt,vip
251,user251@example.com,2025-09-28,Bosnia and Herzegovina,regular
252,user252@example.com,2024-05-29,Slovakia (Slovak Republic),vip
253,user253@example.com,2025-04-14,Turks and Caicos Islands,vip
254,user254@example.com,2024-08-19,Niger,vip
255,user255@example.com,2023-07-25,Uzbekistan,regular
256,user256@example.com,2023-11-29,Tonga,regular
257,user257@example.com,2023-08-06,South Georgia and the South Sandwich Islands,vip
258,user258@example.com,2023-08-29,Turkmenistan,regular
259,user259@example.com,2024-08-28,Anguilla,regular
260,user260@example.com,2023-09-01,Saint Pierre and Miquelon,regular
261,user261@example.com,2024-04-26,Slovenia,vip
262,user262@example.com,2024-08-27,Spain,regular
263,user263@example.com,2025-10-02,Tonga,vip
